"統計期","選舉屆期別","總計[人]","研究所[人]","大專校院[人]","中等學校[人]","小學[人]","軍警學校[人]","其他[人]"
"58年","第1屆",48,0,23,13,0,8,4
"62年","第2屆",49,0,31,12,0,5,1
"66年","第3屆",51,0,30,14,0,6,1
"70年","第4屆",51,0,30,18,0,0,3
"74年","第5屆",51,0,37,14,0,0,0
"78年","第6屆",51,0,46,5,0,0,0
"83年","第7屆",52,0,45,6,0,1,0
"87年","第8屆",52,0,49,3,0,0,0
"91年","第9屆",52,0,48,4,0,0,0
"95年","第10屆",52,0,50,2,0,0,0
"99年","第11屆",62,37,20,4,0,0,1
"103年","第12屆",63,41,20,2,0,0,0
"107年","第13屆",63,42,19,2,0,0,0
"111年","第14屆",61,40,20,1,0,0,0
